;Cuve;N° Lot;Volume nominal;Volume en cuve;Appelation;Observation;Date;Opération;Volume operation;Destination / Provenance;D°;AV;SO2L;AT;SO2T;SO2Act;FT;IC;Proteine;Malo;Couleur;Stabilité Tartrique;;
*;B15;12/1026;250;250;VP30 Rouge;;2014-03-18;Entrée;250;cv3;13.35;0.47;0;0;0;0;0;0;0;0;0;0;;
*;B18;0;93;0;;retentats 70hl;2013-12-13;;;;0;0;0;0;0;0;0;0;0;0;2;0;;
*;B19;06/0464;149;0;;;2013-04-15;Retiraison;29;126;12.73;0.24;26;3.51;66;0;0;0;0;0;;0;;Retiraison
*;B20;12/0976;93;42;VDF Rosé;SOLDE COLLE;2014-02-14;Entrée;42;C62;0;0;0;0;0;0;0;0;0;0;0;0;;
*;B21;12/0974;210;210;VDF Rouge;bio;2014-03-13;Entrée;210;c47;0;0;0;0;0;0;0;0;0;0;0;0;;
*;B22;12/1033;210;210;VDF Rouge;;2014-03-13;Entrée;210;ca10;11.6;0.39;0;0;0;0;0;0;0;0;0;0;;
*;135;12/1040;250;202;OC Blanc;;2014-03-18;Entrée;62;ca10;0;0;0;0;0;0;0;0;0;0;0;0;;
*;1;12/1048;400;400;Grenache OC Rosé;;2014-03-18;Entrée;220;briffaude;12.7;0.29;0;0;0;0;0;0;0;0;0;0;;
*;2;12/1009;400;0;;;2014-02-24;Retiraison;90;cellier des pradeaux;0;0;0;0;0;0;0;0;0;0;1;0;;
*;3;12/0995;402;0;;;2014-02-19;Retiraison;250;CA3;13.63;0.54;0;0;0;0;0;0;0;0;1;0;;
*;4;12/1044;402;200;VDF Rouge;ardeche;2014-03-12;Entrée;200;pradal;0;0.44;0;0;0;0;0;0;0;0;0;0;;
*;5;12/1026;405;246.54;VDF Rouge;pouget;2014-08-17;Retiraison;10;agapes;12.6;0.28;0;0;0;0;ft;0;0;0;0;0;;
*;6;12/0776;410;0;;;2017-03-10;Retiraison;158;c45;11.5;0.56;0;0;0;0;0;0;INSTABLE;0;0;0;;
*;7;12/0985;396;0;;;2014-01-31;Retiraison;166;CB21;0;0;0;0;0;0;0;0;;0;0;0;;
*;8;12/0761;402;0;;;2013-10-17;Retiraison;35;C109;0;0;0;0;0;0;0;0;0;0;0;0;;
*;9;12/0969;405;405;Bio Cabernet OC Rouge;;2014-01-15;Analyse;;;12.94;0.42;0;0;0;0;0;0;0;0;0;0;;
*;10;0;405;0;;;2013-11-29;Nettoyage;;;0;0;0;0;0;0;0;0;0;0;0;0;;Acidification
