"Section";"Discipline";"Libelle";"Libelle";"Discipline WEB";"Libellé WEB";
"HI";"MD";"HISTOIRE";;;;
"HI";"ME";"HISTOIRE";"HIST. MEDIEVALE";"HIME";"Histoire médiévale et moderne";
"HI";"MO";"HISTOIRE";"HISTOIRE MODERNE";"HIMO";"Histoire moderne";
"HI";"MS";"HISTOIRE";"Histoire des mythes et des civilisations";"HIMC";"Histoire des mythes et des civilisations";"X"
"HI";"MY";"HISTOIRE";"HIST. MYTHOLOGIES";"HIMY";"Histoire des Mythologies";
"HI";"RA";"HISTOIRE";"HIST ROME ANTIQUE";"HIRO";"Les grandes étapes de la Rome antique";
"HI";"RE";"HISTOIRE";"HIST. REGIONALE";"HIRE";"Histoire régionale";
"HI";"RL";"HISTOIRE";"HISTOIRE DES RELIGIONS";"HIRL";"Histoire des religions";
"HI";"RU";"HISTOIRE";"LAGRANDE RUSSIE";"SHGR";"La grande Russie";
"IN";"GO";"INTERNET";"GOOGLE-NOUVELLES FONCTIONS";"INGO";"Google : nouvelles fonctions et recherches multimédia";
"IN";"IN";"INTERNET";"INTERNET";"ININ";"Internet";
"XX";"XX";;"INTERNET";"INJI";"Création de site internet ""en ligne"" avec Jimdo";"X"
"IN";"SE";"INTERNET";"SECURITE SUR INTERNET";"INSE";"Sécuriser son ordinateur sur Internet";
"IN";"SP";"INTERNET";"INTERNET SITES PRATIQUES";"INSP";"Sites pratiques";
"IT";"AU";"ITALIEN";"ITALIEN";"LGIT";"Italien";
"IT";"CR";"ITALIEN";"ITALIEN";"LGIT";"Italien";
"IT";"GA";"ITALIEN";"ITALIEN";"LGIT";"Italien";
"IT";"PO";"ITALIEN";"ITALIEN";"LGIT";"Italien";
"IT";"TR";"ITALIEN";"ITALIEN";"LGIT";"Italien";
"JA";"JA";"INITIATION à la CULTURE JAPONAISE";"INITIATION à la CULTURE JAPONAISE";"SHCJ";"Initiation à la culture japonaise";
"LP";"LP";"LIVRE PHOTO";"LIVRE PHOTO";"INLP";"Création d'un ""livre-photo"" sur internet";
"MI";"FA";"MESSAGERIE INSTANTANEE";"FACEBOOK";"INFA";"Facebook";
"MI";"MI";"MESSAGERIE INSTANTANEE";"MESSAGERIE INSTANTANEE";"INSK";"Skype : messagerie instantanée";
"MV";"MV";"MONTAGE VIDEO";"MONTAGE VIDEO";"INMV";"Montage vidéo : Windows (live) Movie Maker";
"OC";"PE";"OCCITAN";"OCCITAN";"LGOC";"Occitan";
"PC";"PC";"MAINT. PC";"MAINT. PC";"INPC";"Configuration et anomalies PC";
"PH";"DE";"PEINTURE à L'HUILE";"DESSIN D APRES NATURE";"AADE";"Dessin d'après nature";
"PH";"PH";"PEINTURE à L'HUILE";"PEINTURE à L'HUILE";"AAPH";"Peinture à l'huile";
"PI";"NH";"PILATES";"PILATES";"APPI";"Pilates";
"PO";"PO";"DIAPORAMA";"DIAPORAMA";"INPP";"PowerPoint : création de diaporamas";
"PU";"PU";"PAO";"PAO";"INPU";"Mise en page avec Publisher";
"PY";"AF";"TECHNIQUES CINEMA";;;;
"QI";"QI";"QI GONG";;;;
"SA";"SA";"SIMPLE ADHERENT";"SIMPLE ADHERENT";;;
"SC";"SC";"SCANNER / IMPRIMER";"SCANNER / IMPRIMER";"INSI";"Bien scanner et imprimer";
"SO";"MB";"SOPHROLOGIE";"SOPHROLOGIE";"APSO";"Sophrologie";
"SO";"NH";"SOPHROLOGIE";"SOPHROLOGIE";"APSO";"Sophrologie";
"SR";"SR";"STOCKER ET RANGER LES PHOTOS";"STOCKER ET RANGER LES PHOTOS";"INPN";"Photos numériques : Stockage et classement";
"SV";"SV";"SAUVEGARDE";"SAUVEGARDE DES DONNEES";"INSR";"Sauvegarde et récupération de ses données";
"TA";"AN";"TABLETTE";"TABLETTE ANDROID";"INTA";"Tablettes android";
"TA";"IP";"TABLETTE";"IPAD";"INTI";"Tablettes iPad";
"TB";"TB";"TABLEUR";"TABLEUR";"INTB";"Tableur (Excel) ";
"TT";"TT";"TRAITEMENT TEXTE";"TRAITEMENT TEXTE";"INTT";"Traitement de texte (Word) ";
"YO";"MB";"YOGA";"YOGA DOUX & RELAXATION";"APYD";"Yoga doux";
"YO";"NH";"YOGA";"YOGA DOUX & RELAXATION";"APYD";"Yoga doux";
"YR";"MB";"YOGA DU RIRE";"YOGA DU RIRE";"APYR";"Yoga du rire";
