"Section";"Discipline";"Libelle";"Libelle";"ifnull(wd.CodeDiscipline,'')";"ifnull(wd.Libelle,'')"
"IT";"AU";"ITALIEN";"ITALIEN";"LGIT";"Italien"
"IT";"CR";"ITALIEN";"ITALIEN";"LGIT";"Italien"
"IT";"GA";"ITALIEN";"ITALIEN";"LGIT";"Italien"
"IT";"PO";"ITALIEN";"ITALIEN";"LGIT";"Italien"
"IT";"TR";"ITALIEN";"ITALIEN";"LGIT";"Italien"
"JA";"JA";"INITIATION à la CULTURE JAPONAISE";"INITIATION à la CULTURE JAPONAISE";"";""
"LP";"LP";"LIVRE PHOTO";"LIVRE PHOTO";"";""
"MI";"FA";"MESSAGERIE INSTANTANEE";"FACEBOOK";"";""
"MI";"MI";"MESSAGERIE INSTANTANEE";"MESSAGERIE INSTANTANEE";"";""
"MV";"MV";"MONTAGE VIDEO";"MONTAGE VIDEO";"";""
"OC";"PE";"OCCITAN";"OCCITAN";"LGOC";"Occitan"
"PC";"PC";"MAINT. PC";"MAINT. PC";"";""
"PH";"DE";"PEINTURE à L'HUILE";"DESSIN D APRES NATURE";"";""
"PH";"PH";"PEINTURE à L'HUILE";"PEINTURE à L'HUILE";"";""
"PI";"NH";"PILATES";"PILATES";"";""
"PO";"PO";"DIAPORAMA";"DIAPORAMA";"";""
"PU";"PU";"PAO";"PAO";"";""
"PY";"AF";"TECHNIQUES CINEMA";"ANALYSES FILMIQUES";"";""
"QI";"QI";"QI GONG";"QI GONG";"";""
"SA";"SA";"SIMPLE ADHERENT";"SIMPLE ADHERENT";"";""
"SC";"SC";"SCANNER / IMPRIMER";"SCANNER / IMPRIMER";"";""
"SO";"MB";"SOPHROLOGIE";"SOPHROLOGIE";"";""
"SO";"NH";"SOPHROLOGIE";"SOPHROLOGIE";"";""
"SR";"SR";"STOCKER ET RANGER LES PHOTOS";"STOCKER ET RANGER LES PHOTOS";"";""
"SV";"SV";"SAUVEGARDE";"SAUVEGARDE DES DONNEES";"";""
"TA";"AN";"TABLETTE";"TABLETTE ANDROID";"";""
"TA";"IP";"TABLETTE";"IPAD";"";""
"TB";"TB";"TABLEUR";"TABLEUR";"";""
"TT";"TT";"TRAITEMENT TEXTE";"TRAITEMENT TEXTE";"";""
"YO";"MB";"YOGA";"YOGA DOUX & RELAXATION";"";""
"YO";"NH";"YOGA";"YOGA DOUX & RELAXATION";"";""
"YR";"MB";"YOGA DU RIRE";"YOGA DU RIRE";"";""

